Time	P1_pad	P3b_pad	P3a_pad	P1_cup	P2_cup	P3_cup	P1_green	P2_green	P3_green	P1_pink	P2_pink	P3_pink	P1_ripe	P2_ripe	P3_ripe	null1	null2	null3
K00558	14.1	13.15	13.24	3.23	3.79	4.1	5.41	5.49	2.39	2.54	3.31	3.98	4.71	2.33	3.15	0	0	0
K00559	0	3.46	0	165.42	196.27	0	0	2.75	216.91	152.03	0	139.08	70.4	171.22	255.11	0	0	0
K00561	0	0	4.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00565	8.19	12.18	13.18	6.54	6.35	6.61	7.04	8.64	7.3	9.4	10.06	3.57	12.88	5.99	2.84	0	0	0
K00566	20.33	9.57	8.47	9.16	8.11	9.38	7.78	4.48	5.6	5.65	5.02	4.49	7.97	4.04	4.07	0	0	0
K00573	0	20.28	0	39.36	40.89	41.62	69.51	38.78	40.86	39.99	44.32	35.04	66.46	61.74	51.54	0	0	0
K00574	0	0	0	0	0	0	0	0	0	4.28	4.88	4.64	3.73	4.88	4.91	0	0	0
K00586	38.57	36.07	33.72	27.66	32.35	29.11	31.79	26.05	31.52	28.77	29.18	19.55	15.96	29.09	27.08	0	0	0
K00587	23.21	27.86	23.43	20.57	0	19.59	0	23.3	0	22.23	23.01	19.99	20.2	39.65	23.3	0	0	0
K00588	24.17	30.23	20	42.05	34.12	25.78	313.88	87.93	19.6	1181.86	1174.42	41.87	907.74	1139.85	1451.91	0	0	0
K00591	14.39	17.13	15.82	15.32	16.43	15.03	18.05	13.26	12.85	20.66	20.03	19.67	26.4	0	18.92	0	0	0
K00592	21.15	21.64	21.51	16.84	15.41	15.56	12.34	5.53	10.41	4.48	3.69	4.33	5.06	3.67	3.91	0	0	0
K00599	21.81	33.3	12.8	16.56	42.01	16.39	14.65	11.02	19.47	15.41	25.73	14.88	14.61	13.52	84.49	0	0	0
K00600	47.73	49.86	54.35	37.51	250.75	40.2	263.43	40.48	39.57	47.14	47.62	64.95	30.25	130.2	81.1	0	0	0
K00601	24.64	9.07	8.26	5.66	10.44	32.09	5.84	5.83	5.23	6.82	6.03	4.95	6.24	0	4.67	0	0	0
K00602	54.02	0	0	73.37	58.33	48.42	61.1	34.83	38.28	35.99	30.13	28.04	24.08	28.88	32.47	0	0	0
K00604	25.04	19.79	0	19.87	0	12.96	0	11.91	0	0	6.62	23.71	8.5	9.86	17.69	0	0	0
K00605	142.74	126.08	123.42	117.79	109.33	101.22	105.25	50.67	82.44	36.99	35.99	53.97	17.11	50.33	38.11	0	0	0
K00606	6.92	7.53	7.69	4.66	7.11	5.98	9.88	3.82	5.96	3.99	4.47	6.6	5.18	3.85	5.02	0	0	0
K00609	17.41	17.34	16.92	18.98	20.46	18.58	23.24	14.23	15.48	18.58	16.56	15.06	13.92	15.76	20.78	0	0	0
K00611	54.46	71.6	140.92	64.62	51.17	59.05	55.57	39.65	47.35	162.71	0	34.75	14.98	33.33	64.78	0	0	0
K00615	45.52	403.38	385.59	376.98	343.45	335.52	325.19	143.22	215.67	0	77.79	81.4	54.63	245.6	71.18	0	0	0
K00616	204.5	209.58	46.58	224.06	242.72	245.77	306.42	152.69	199.4	286.13	275.59	272.14	339.27	349.34	355.07	0	0	0
K00620	19.62	22.77	22.06	16.36	0	0	18.62	0	18.15	0	0	10.78	25.18	10.08	11.06	0	0	0
K00621	12.29	0	10.67	9.09	13.47	12.1	12.24	50.94	11.31	11.22	0	8.53	11.49	46.34	0	0	0	0
K00626	109.05	108.32	94.52	151.49	213.9	169.74	142.83	126.34	133.7	0	108.98	0	0	139.55	0	0	0	0
K00627	44.83	78.07	43.44	41	40.66	58.55	100.2	30.02	20.08	34.6	70.53	75.96	24.04	205.87	54.32	0	0	0
